x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE
24.4 ft,3.78 ft,2,01:56.0,Kevin Durant,MAKE,2,1 ft
16.9 ft,8.36 ft,2,01:35.0,Kevin Durant,MAKE,2,9 ft
29.5 ft,19.2 ft,3,10:58.0,Kevin Durant,MISS,2,17 ft
41.0 ft,25.2 ft,3,07:51.0,Kevin Durant,MISS,3,28 ft
42.1 ft,24.1 ft,3,07:13.0,Kevin Durant,MISS,3,28 ft
46.4 ft,15.3 ft,3,05:54.0,Kevin Durant,MISS,3,26 ft
33.0 ft,6.37 ft,3,04:41.0,Kevin Durant,MISS,2,10 ft
1.70 ft,1.19 ft,3,04:08.0,Kevin Durant,MISS,3,22 ft
19.7 ft,7.26 ft,3,02:53.0,Kevin Durant,MISS,2,6 ft
30.9 ft,15.9 ft,3,02:13.0,Kevin Durant,MISS,2,15 ft
24.0 ft,3.88 ft,1,11:26.0,Kevin Durant,MAKE,2,1 ft
30.2 ft,14.2 ft,1,10:40.0,Kevin Durant,MAKE,2,13 ft
19.7 ft,4.77 ft,1,08:10.0,Kevin Durant,MISS,2,5 ft
31.9 ft,5.97 ft,1,06:23.0,Kevin Durant,MISS,2,8 ft
20.0 ft,6.17 ft,1,05:51.0,Kevin Durant,MISS,2,5 ft
24.4 ft,3.28 ft,1,05:40.0,Kevin Durant,MAKE,2,0 ft
47.0 ft,10.2 ft,1,04:08.0,Kevin Durant,MAKE,3,24 ft
20.8 ft,4.68 ft,1,00:20.0,Kevin Durant,MAKE,2,3 ft
18.6 ft,10.2 ft,2,02:15.0,Kevin Durant,MAKE,2,9 ft
44.4 ft,17.9 ft,2,01:50.0,Kevin Durant,MAKE,3,25 ft
22.5 ft,6.17 ft,3,11:35.0,Kevin Durant,MISS,2,3 ft
31.2 ft,15.2 ft,3,10:27.0,Kevin Durant,MAKE,2,14 ft
28.0 ft,3.58 ft,3,07:16.0,Kevin Durant,MAKE,2,4 ft
19.9 ft,3.78 ft,3,00:06.0,Kevin Durant,MISS,2,4 ft
36.5 ft,17.7 ft,4,05:22.0,Kevin Durant,MISS,2,19 ft
46.9 ft,7.26 ft,4,02:40.0,Kevin Durant,MISS,3,23 ft
14.7 ft,17.3 ft,1,04:54.0,Kevin Durant,MISS,2,17 ft
33.9 ft,17.6 ft,1,03:47.0,Kevin Durant,MISS,2,18 ft
32.9 ft,27.3 ft,1,03:30.0,Kevin Durant,MAKE,3,26 ft
13.9 ft,9.75 ft,1,01:05.0,Kevin Durant,MISS,2,12 ft
21.9 ft,29.1 ft,1,00:47.0,Kevin Durant,MISS,3,26 ft
19.4 ft,14.5 ft,1,00:01.0,Kevin Durant,MAKE,2,12 ft
23.7 ft,4.68 ft,2,05:00.0,Kevin Durant,MISS,2,1 ft
34.3 ft,-0.9 ft,2,04:23.0,Kevin Durant,MISS,2,11 ft
35.8 ft,8.46 ft,2,02:40.0,Kevin Durant,MAKE,2,13 ft
10.5 ft,23.9 ft,2,02:11.0,Kevin Durant,MISS,3,25 ft
12.3 ft,3.58 ft,2,02:01.0,Kevin Durant,MAKE,2,12 ft
17.2 ft,11.2 ft,3,11:06.0,Kevin Durant,MAKE,2,10 ft
28.9 ft,9.75 ft,3,06:05.0,Kevin Durant,MAKE,2,8 ft
28.1 ft,14.0 ft,3,03:55.0,Kevin Durant,MISS,2,12 ft
39.0 ft,24.4 ft,4,08:04.0,Kevin Durant,MISS,3,26 ft
9.8 ft,8.66 ft,4,04:18.0,Kevin Durant,MISS,2,15 ft
34.9 ft,5.67 ft,4,03:11.0,Kevin Durant,MAKE,2,11 ft
23.5 ft,3.78 ft,4,02:51.0,Kevin Durant,MAKE,2,1 ft
39.3 ft,4.28 ft,4,01:40.0,Kevin Durant,MISS,2,15 ft
35.8 ft,17.7 ft,1,10:05.0,Kevin Durant,MAKE,2,19 ft
16.8 ft,12.3 ft,1,08:20.0,Kevin Durant,MAKE,2,12 ft
14.4 ft,18.2 ft,1,07:17.0,Kevin Durant,MAKE,2,18 ft
15.7 ft,8.46 ft,2,05:07.0,Kevin Durant,MISS,2,10 ft
24.0 ft,5.47 ft,2,03:53.0,Kevin Durant,MAKE,2,2 ft
35.5 ft,7.66 ft,2,03:11.0,Kevin Durant,MISS,2,12 ft
33.8 ft,26.8 ft,2,00:54.0,Kevin Durant,MISS,3,26 ft
17.7 ft,23.2 ft,3,09:09.0,Kevin Durant,MAKE,2,21 ft
46.8 ft,6.97 ft,3,06:08.0,Kevin Durant,MISS,3,23 ft
33.5 ft,11.7 ft,3,05:43.0,Kevin Durant,MAKE,2,13 ft
13.0 ft,7.66 ft,3,03:21.0,Kevin Durant,MISS,2,12 ft
37.8 ft,28.2 ft,4,09:28.0,Kevin Durant,MISS,3,29 ft
26.0 ft,5.47 ft,4,07:17.0,Kevin Durant,MISS,2,3 ft
24.0 ft,3.28 ft,4,06:53.0,Kevin Durant,MAKE,2,0 ft
24.3 ft,5.47 ft,4,06:39.0,Kevin Durant,MAKE,2,2 ft
