x,y,QUARTER,TIME_REMAINING,PLAYER,MAKE_MISS,VALUE,DISTANCE,team
17.2 ft,22.5 ft,1.0,11:15.0,Kevin Durant,MISS,2.0,21 ft,
10.8 ft,10.5 ft,1.0,10:47.0,Kevin Durant,MISS,2.0,15 ft,
40.0 ft,23.1 ft,1.0,9:18.0,Kevin Durant,MAKE,3.0,26 ft,
29.2 ft,12.8 ft,1.0,7:53.0,Kevin Durant,MISS,2.0,11 ft,
14.7 ft,15.4 ft,1.0,5:25.0,Kevin Durant,MAKE,2.0,15 ft,
27.1 ft,16.1 ft,1.0,4:06.0,Kevin Durant,MISS,2.0,13 ft,
24.8 ft,3.88 ft,1.0,3:17.0,Kevin Durant,MAKE,2.0,1 ft,
32.5 ft,13.0 ft,2.0,6:40.0,Kevin Durant,MAKE,2.0,13 ft,
22.9 ft,4.28 ft,2.0,6:01.0,Kevin Durant,MISS,2.0,2 ft,
38.2 ft,16.7 ft,2.0,3:43.0,Kevin Durant,MISS,2.0,20 ft,
42.1 ft,25.2 ft,2.0,3:13.0,Kevin Durant,MISS,3.0,29 ft,
37.8 ft,25.8 ft,2.0,1:13.0,Kevin Durant,MISS,3.0,27 ft,
22.2 ft,4.08 ft,2.0,0:12.0,Kevin Durant,MISS,2.0,2 ft,
33.2 ft,12.6 ft,3.0,11:42.0,Kevin Durant,MISS,2.0,13 ft,
23.5 ft,5.27 ft,3.0,8:49.0,Kevin Durant,MAKE,2.0,2 ft,
20.7 ft,28.8 ft,3.0,8:29.0,Kevin Durant,MAKE,3.0,26 ft,
11.1 ft,7.66 ft,3.0,5:57.0,Kevin Durant,MAKE,2.0,14 ft,
24.3 ft,4.68 ft,3.0,5:06.0,Kevin Durant,MAKE,2.0,1 ft,
24.8 ft,5.17 ft,3.0,4:38.0,Kevin Durant,MAKE,2.0,2 ft,
11.6 ft,13.5 ft,4.0,5:47.0,Kevin Durant,MISS,2.0,16 ft,
